Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg<2.5,Avg>2.5,HS,AS,HST,AST
Example2,01/08/00,Club1,Club15,3,0,H,1.27,5.91,10.27,2.7,1.43,10,12,3,5
Example2,01/08/00,Club2,Club13,1,0,H,1.39,4.15,6.25,1.93,1.94,,,,
Example2,01/08/00,Club4,Club11,0,6,A,9.75,5.27,1.29,2.39,1.53,8,39,1,16
Example2,01/08/00,Club6,Club9,3,0,H,1.76,3.61,4.41,2.08,1.72,6,9,5,3
Example2,01/08/00,Club8,Club7,0,1,A,2.69,3.02,2.76,1.6,2.29,9,11,2,4
Example2,01/08/00,Club10,Club5,0,0,D,2.32,3.01,3.15,1.52,2.42,,,,
Example2,01/08/00,Club12,Club3,0,2,A,1.93,3.42,4.13,1.69,2.18,13,6,2,3
Example2,11/08/00,Club14,Club1,0,2,A,2.11,3.15,3.5,1.56,2.32,,,,
Example2,11/08/00,Club13,Club15,4,1,H,1.23,5.93,11.58,2.32,1.58,10,15,5,4
Example2,11/08/00,Club11,Club2,0,0,D,2.25,3.26,3.06,1.95,1.79,18,5,4,2
Example2,11/08/00,Club9,Club4,3,0,H,1.3,5.02,10.69,2.6,1.45,25,13,16,9
Example2,11/08/00,Club7,Club6,2,0,H,2.52,3.26,2.81,1.77,2.01,10,19,3,8
Example2,11/08/00,Club5,Club8,1,0,H,2.19,3,3.42,1.6,2.26,,,,
Example2,11/08/00,Club3,Club10,0,1,A,1.7,3.27,5.15,1.47,2.53,,,,
Example2,21/08/00,Club14,Club12,5,0,H,1.27,4.84,9.43,2.05,1.68,,,,
Example2,21/08/00,Club13,Club1,1,1,D,2.34,2.69,3.2,1.47,2.41,,,,
Example2,21/08/00,Club15,Club11,1,1,D,1.58,4.16,5.25,2.15,1.69,10,13,5,5
Example2,21/08/00,Club2,Club9,2,1,H,1.89,3.38,4.08,1.82,1.97,17,11,6,6
Example2,21/08/00,Club4,Club7,2,2,D,1.78,3.37,4.62,1.63,2.21,,,,
Example2,21/08/00,Club6,Club5,4,2,H,2.37,3.02,3.05,1.72,2.07,,,,
Example2,21/08/00,Club8,Club3,1,2,A,2.28,2.95,3.02,1.8,1.95,,,,
Example2,31/08/00,Club10,Club14,0,0,D,3.18,3.26,2.19,1.81,1.95,,,,
Example2,31/08/00,Club1,Club12,0,3,A,4.43,3.14,1.83,1.94,1.8,12,15,2,5
Example2,31/08/00,Club11,Club13,4,0,H,1.65,3.58,5.11,2.34,1.55,20,4,12,0
Example2,31/08/00,Club9,Club15,3,0,H,2.24,3.27,3.32,1.78,2.03,17,10,10,3
Example2,31/08/00,Club7,Club2,1,1,D,2.39,3.25,3.08,1.78,2.02,7,17,3,2
Example2,31/08/00,Club5,Club4,1,3,A,1.57,3.33,6.1,1.58,2.17,15,9,7,4
Example2,31/08/00,Club3,Club6,0,0,D,2.13,3.15,3.1,1.71,2,,,,
Example2,10/09/00,Club14,Club8,0,5,A,6.81,4.29,1.4,2.34,1.54,,,,
Example2,10/09/00,Club12,Club10,0,4,A,3.08,3.21,2.18,1.72,2.03,,,,
